ingresso	Acqua siamo noi	1xT_6vBZ1U6NH8eciDKTyKUDq06zgWsqysDEMl8waW_M
ingresso	Adeste fideles	1rdTXyytzIJHLiPCdvgnJZxEow1oF9feOJx3M9PKB8I0
ingresso	Alzo gli occhi verso i monti	1xQAvTmXOwt0Dv-gtPyw93ZtLekbllzJXD6q9vwsKfoU
ingresso	Camminerò	1FURJKsWTDWGHxNOH9dTgf8upwfDEqQkZdXk5UzJH1oE
ingresso	Cantico dei redenti	1UwbaqGQbVrjadQmJfP1MjjERgCBIvm6QpkClcsAKWW0
ingresso	Ecco il Signore viene	1YhedUhgb2HdvtJLO0ZCEM17RCR7ObRLwMKNcm_Mloeo
ingresso	Il Signore è la luce	1wiHiu0bpSMIQ8_ateVHDjrY_9ZihtCfMse5n578DjO4
ingresso	Innalziamo lo sguardo	1rnymR5A9c42xRYIHHoyRPJcDKzXmXpvjYsLSQCjbbe8
ingresso	Invochiamo la tua presenza	172Rl9Ve7Rq7uWd5DF4YoXH2RSgvBWb3gbs4L4xfrsS4
ingresso	Lodate il Signore dai cieli	1wjdUNsHpSNw8XCx2GG0kEpFeExg4pqO7o9IQkGUyiAk
ingresso	Maria tu sei	1UuLzXnuQXnOuiejrdhCf3mP3-mmDIBQiweNU9ik_UCc
ingresso	Ogni mia parola	1WGzNhqMI-Do0pxhnJxUCjBu5G9jtK8GQdhbORwNCmuU
ingresso	Osanna al figlio di David	11eeQClMVGuLOzRPBR4xWKrQlot3_iai5AXrm2GUWiRI
ingresso	Popoli tutti	1WBckUHt_sMpZ38qXl7RfqBcZ17TlfLS94hRfVObTrmA
ingresso	Quale gioia	18IiJBBEAWVqTHfDJKaqqtKoBBqWtF_bPSHB_BzP5un8
ingresso	Resurrezione	1raalxZOCgSfOgXfosCwQhODTOn6Rrk2IdDgm3FMxhuU
ingresso	Su ali d'aquila	1mWIUemfWnt2vYDfzK3yyWUkUolxA1W8XeIE1Zp9U5Eg
ingresso	Un cuore nuovo	1A_6VVyuJN8SNWttF2n4DgBui9oLkJRUFResStBBSJEo
ingresso	Vieni Gesù, Maranathà	1AbVeSjQ4uh0oonhnZRZyv___AZ7SWbe4hWIWad7GJOc
gloria	Gloria Buttazzo	10ZPpluGVf9JdNDTj9IgvC6ynMKb3G7_61bGhLhjQUC4
gloria	Gloria in excelsis Deo	1e4IQtlhEvgOnT7W9bX3g5FyPYGTk6GFM2yvE3JLZAp4
gloria	Gloria Latino	11lR8n_DFaR9p6wcVltsLWDIB49w5TL1cUb-83sy2HiQ
gloria	Gloria Mattia	1kC6f1qxtLmrFM8fUtFWP10Lvyk5x4uZ7iKLnGtxL3ls
vangelo	Alleluja Annarella	17BgybPoFcGemlqx6uXZWgnyk4dOPyv3cadOJMDqG25g
vangelo	Alleluja Canto per Cristo	1MSj8hmKK1m6EzfSQcGZc96AhnSwMkaNliZgRVNLS--w
vangelo	Alleluja Celtico	18w-3-XluwTtn4xoQQNyaf2dnaZ0N4tnHNgUSI7y-maY
